Enemy Name,HP,PP,Offense,Defense,Fight,Force,Speed,Strength,Wisdom,Exp,Money
Alarm Ghost,50,0,34,64,20,30,35,60,50,80,27
Alligator,30,0,18,22,10,5,15,15,10,21,18
Armor,120,100,68,150,50,100,60,100,50,200,300
Bag Lady,90,0,12,38,20,10,40,30,30,63,150
Barbot,60,40,24,46,30,100,35,100,35,32,45
B.B. Gang,80,0,60,125,40,20,40,20,20,72,60
Bear,80,0,42,64,30,10,28,40,20,70,250
Big Foot,90,50,50,90,50,15,38,30,60,150,48
Big Woodoh,70,0,18,50,20,18,23,60,60,100,140
Bionic Bat,50,0,34,64,20,30,35,60,50,40,34
BionicCenti,35,0,16,32,15,30,28,30,60,18,14
BionicScorp,100,0,60,150,40,60,70,60,80,61,56
Bison,160,0,70,160,50,80,50,80,80,186,63
Blue Starman,100,80,74,120,40,45,42,50,60,150,91
Bomber,60,0,10,64,20,100,35,100,30,56,32
Buffalo,150,0,68,150,60,20,43,40,40,103,95
Centipede,12,0,4,12,3,1,17,20,40,1,1
Cerebrum,200,180,60,280,120,100,120,80,120,89,80
Cougar,42,0,28,40,35,20,78,20,30,32,25
Crocodile,120,0,80,150,40,20,40,40,30,172,88
Crow,22,0,8,12,8,10,12,5,1,3,4
Dadseyes,40,0,20,32,20,20,20,20,20,35,53
Doll,12,0,4,5,3,1,5,1,1,10,50
Dr. Distorto,60,0,38,48,25,30,45,30,30,45,40
Dragon,650,200,180,200,60,60,60,100,20,500,1200
Dust Ball,78,0,40,120,30,20,50,60,50,80,100
Eagle,45,0,32,44,20,40,60,20,30,36,30
Elephant,70,0,20,34,30,8,10,30,5,60,99
Energy Robot,80,0,60,90,20,100,20,40,100,202,70
Fire Ball,58,50,24,58,35,30,40,50,30,61,35
Fish,65,0,38,60,45,40,30,40,20,140,180
Fly,10,0,1,40,32,40,40,1,10,1,1
Foureyes,40,0,22,32,20,20,40,20,20,32,26
Fugitive,60,0,32,45,20,8,22,18,6,60,350
Gabilan,100,0,62,100,50,15,68,15,70,70,43
Gang Zombie,34,0,18,20,8,5,8,40,5,12,32
Gargoyle,180,60,90,160,80,100,70,100,70,110,86
Ghost,20,0,12,24,6,15,22,40,5,5,10
Giga Borg,180,80,100,180,80,100,60,100,80,98,143
Gorilla,40,0,20,26,35,20,15,10,5,23,52
Grizzly Bear,340,0,160,340,100,25,100,60,100,250,65
Groucho,35,0,12,40,20,20,20,20,20,3,12
Hippie,25,0,8,14,3,3,6,1,1,6,35
Hyena,30,0,10,16,10,5,22,10,18,12,20
Juana,300,200,200,250,60,100,120,100,100,270,362
Kelly,120,80,80,150,50,100,70,100,60,102,88
Lamp,6,0,3,5,1,3,5,3,3,1,0
Last Starman,120,100,90,140,70,50,60,80,60,330,389
Lil' Saucer,32,20,20,30,15,100,20,100,18,20,22
Lone Wolf,80,0,60,150,50,60,60,30,30,100,41
Mad Car,40,0,20,38,45,100,40,100,35,55,32
Mad Truck,60,0,22,40,38,100,35,100,35,57,30
Magic Snail,50,0,20,90,20,18,18,40,18,42,28
Maniac Truck,80,0,34,48,45,100,35,100,35,75,58
Mega Borg,160,60,80,170,60,100,50,100,60,197,109
Momseyes,40,0,24,20,50,20,50,20,20,35,34
Mook,85,80,50,110,50,30,40,30,100,166,42
Mr. Bat,20,0,8,10,8,8,5,4,5,4,7
Nancy,120,60,62,170,50,100,72,100,60,68,50
Nasty Zombie,90,0,62,90,30,20,30,60,50,54,58
Oh-Mook,160,250,60,140,10,100,65,100,250,175,110
Old Robot,60,30,48,72,25,100,20,100,20,54,38
Omega Borg,230,150,150,200,60,100,100,100,90,180,205
Omega Saucer,65,50,42,50,20,100,60,100,40,82,57
Polar Bear,100,0,52,180,30,30,40,40,30,160,50
PseudoZombi,30,0,16,16,10,7,12,40,5,8,12
PsychoCar,40,0,18,40,45,100,40,100,35,61,45
Psycho Truck,58,0,20,40,30,100,32,100,35,34,27
Raeb Yddet,40,0,22,38,25,18,25,25,18,25,27
Rat,10,0,4,8,6,7,5,3,1,3,2
Rattle Snake,100,0,65,128,60,20,60,60,80,57,54
Red Snake,150,0,50,160,90,40,100,60,60,500,330
Rockoyle,120,60,70,150,60,100,65,30,120,162,93
Rope,80,0,35,50,50,80,30,80,5,48,80
Scorpion,75,0,60,80,40,15,60,60,80,50,36
Scrapper,70,30,26,76,25,100,20,100,20,65,38
Seagull,90,0,68,90,50,20,70,20,40,100,44
Shroudley,90,0,42,128,25,10,35,70,55,58,34
Silver Wolf,80,0,44,76,40,25,42,30,30,66,43
Skunk,40,0,26,48,52,20,30,20,30,32,32
Sky Yddet,74,0,24,50,20,20,30,50,20,40,23
Snake,18,0,6,8,5,1,10,10,1,2,8
Spider,80,0,45,95,60,15,80,60,80,48,40
Starman,80,50,45,80,30,35,40,40,60,165,68
Starman Jr.,52,16,32,52,35,30,35,18,20,30,5
Star Miner,200,0,140,200,100,100,100,100,60,209,138
Stray Dog,16,0,8,10,8,8,12,5,2,4,10
Super Energy,120,0,50,120,30,100,35,100,60,230,260
Tarantula,120,0,84,160,70,15,80,60,80,205,85
Tiger,35,0,26,24,40,20,20,10,5,24,47
Titanees,130,40,54,200,30,10,58,60,80,78,50
Titanian,320,0,100,420,60,25,70,80,200,180,130
Ullrich,40,60,18,40,20,40,30,10,30,50,65
Ultra Barbot,80,50,54,80,30,100,50,100,40,220,87
Wally,20,0,8,12,6,4,2,1,1,5,20
Watcher,30,0,16,24,25,20,30,20,20,5,20
Wolf,50,0,30,46,25,30,30,30,30,34,31
Woodoh,40,0,20,38,25,20,25,40,30,40,38
Zombie,70,50,50,80,45,15,48,60,80,48,43
